Team,Median of Playing Time: matches played,Mean of Playing Time: matches played,Std of Playing Time: matches played,Median of Playing Time: starts,Mean of Playing Time: starts,Std of Playing Time: starts,Median of Playing Time: minutes,Mean of Playing Time: minutes,Std of Playing Time: minutes,Median of Performance: goals,Mean of Performance: goals,Std of Performance: goals,Median of Performance: assists,Mean of Performance: assists,Std of Performance: assists,Median of Performance: yellow cards,Mean of Performance: yellow cards,Std of Performance: yellow cards,Median of Performance: red cards,Mean of Performance: red cards,Std of Performance: red cards,Median of Expected: xG,Mean of Expected: xG,Std of Expected: xG,Median of Expected: xAG,Mean of Expected: xAG,Std of Expected: xAG,Median of Progression: PrgC,Mean of Progression: PrgC,Std of Progression: PrgC,Median of Progression: PrgP,Mean of Progression: PrgP,Std of Progression: PrgP,Median of Progression: PrgR,Mean of Progression: PrgR,Std of Progression: PrgR,Median of Per 90 minutes: Gls,Mean of Per 90 minutes: Gls,Std of Per 90 minutes: Gls,Median of Per 90 minutes: Ast,Mean of Per 90 minutes: Ast,Std of Per 90 minutes: Ast,Median of Per 90 minutes: xG,Mean of Per 90 minutes: xG,Std of Per 90 minutes: xG,Median of Per 90 minutes: xAG,Mean of Per 90 minutes: xAG,Std of Per 90 minutes: xAG,Median of Goalkeeping: Performance: GA90,Mean of Goalkeeping: Performance: GA90,Std of Goalkeeping: Performance: GA90,Median of Goalkeeping: Performance: Save%,Mean of Goalkeeping: Performance: Save%,Std of Goalkeeping: Performance: Save%,Median of Goalkeeping: Performance: CS%,Mean of Goalkeeping: Performance: CS%,Std of Goalkeeping: Performance: CS%,Median of Goalkeeping: Penalty Kicks: Save%,Mean of Goalkeeping: Penalty Kicks: Save%,Std of Goalkeeping: Penalty Kicks: Save%,Median of Shooting: Standard: SoT%,Mean of Shooting: Standard: SoT%,Std of Shooting: Standard: SoT%,Median of Shooting: Standard: SoT/90,Mean of Shooting: Standard: SoT/90,Std of Shooting: Standard: SoT/90,Median of Shooting: Standard: G/Sh,Mean of Shooting: Standard: G/Sh,Std of Shooting: Standard: G/Sh,Median of Shooting: Standard: Dist,Mean of Shooting: Standard: Dist,Std of Shooting: Standard: Dist,Median of Passing: Total: Cmp,Mean of Passing: Total: Cmp,Std of Passing: Total: Cmp,Median of Passing: Total: Cmp%,Mean of Passing: Total: Cmp%,Std of Passing: Total: Cmp%,Median of Passing: Total: TotDist,Mean of Passing: Total: TotDist,Std of Passing: Total: TotDist,Median of Passing: Short: Cmp%,Mean of Passing: Short: Cmp%,Std of Passing: Short: Cmp%,Median of Passing: Medium: Cmp%,Mean of Passing: Medium: Cmp%,Std of Passing: Medium: Cmp%,Median of Passing: Long: Cmp%,Mean of Passing: Long: Cmp%,Std of Passing: Long: Cmp%,Median of Passing: Expected: KP,Mean of Passing: Expected: KP,Std of Passing: Expected: KP,Median of Passing: Expected: 1/3,Mean of Passing: Expected: 1/3,Std of Passing: Expected: 1/3,Median of Passing: Expected: PPA,Mean of Passing: Expected: PPA,Std of Passing: Expected: PPA,Median of Passing: Expected: CrsPA,Mean of Passing: Expected: CrsPA,Std of Passing: Expected: CrsPA,Median of Passing: Expected: PrgP,Mean of Passing: Expected: PrgP,Std of Passing: Expected: PrgP,Median of Goal and Shot Creation: SCA: SCA,Mean of Goal and Shot Creation: SCA: SCA,Std of Goal and Shot Creation: SCA: SCA,Median of Goal and Shot Creation: SCA: SCA90,Mean of Goal and Shot Creation: SCA: SCA90,Std of Goal and Shot Creation: SCA: SCA90,Median of Goal and Shot Creation: GCA: GCA,Mean of Goal and Shot Creation: GCA: GCA,Std of Goal and Shot Creation: GCA: GCA,Median of Goal and Shot Creation: GCA: GCA90,Mean of Goal and Shot Creation: GCA: GCA90,Std of Goal and Shot Creation: GCA: GCA90,Median of Defensive Actions: Tackles: Tkl,Mean of Defensive Actions: Tackles: Tkl,Std of Defensive Actions: Tackles: Tkl,Median of Defensive Actions: Tackles: TklW,Mean of Defensive Actions: Tackles: TklW,Std of Defensive Actions: Tackles: TklW,Median of Defensive Actions: Challenges: Att,Mean of Defensive Actions: Challenges: Att,Std of Defensive Actions: Challenges: Att,Median of Defensive Actions: Challenges: Lost,Mean of Defensive Actions: Challenges: Lost,Std of Defensive Actions: Challenges: Lost,Median of Defensive Actions: Blocks: Blocks,Mean of Defensive Actions: Blocks: Blocks,Std of Defensive Actions: Blocks: Blocks,Median of Defensive Actions: Blocks: Sh,Mean of Defensive Actions: Blocks: Sh,Std of Defensive Actions: Blocks: Sh,Median of Defensive Actions: Blocks: Pass,Mean of Defensive Actions: Blocks: Pass,Std of Defensive Actions: Blocks: Pass,Median of Defensive Actions: Blocks: Int,Mean of Defensive Actions: Blocks: Int,Std of Defensive Actions: Blocks: Int,Median of Possession: Touches: Touches,Mean of Possession: Touches: Touches,Std of Possession: Touches: Touches,Median of Possession: Touches: Def Pen,Mean of Possession: Touches: Def Pen,Std of Possession: Touches: Def Pen,Median of Possession: Touches: Def 3rd,Mean of Possession: Touches: Def 3rd,Std of Possession: Touches: Def 3rd,Median of Possession: Touches: Mid 3rd,Mean of Possession: Touches: Mid 3rd,Std of Possession: Touches: Mid 3rd,Median of Possession: Touches: Att 3rd,Mean of Possession: Touches: Att 3rd,Std of Possession: Touches: Att 3rd,Median of Possession: Touches: Att Pen,Mean of Possession: Touches: Att Pen,Std of Possession: Touches: Att Pen,Median of Possession: Take-Ons: Att,Mean of Possession: Take-Ons: Att,Std of Possession: Take-Ons: Att,Median of Possession: Take-Ons: Succ%,Mean of Possession: Take-Ons: Succ%,Std of Possession: Take-Ons: Succ%,Median of Possession: Take-Ons: Tkld%,Mean of Possession: Take-Ons: Tkld%,Std of Possession: Take-Ons: Tkld%,Median of Possession: Carries: Carries,Mean of Possession: Carries: Carries,Std of Possession: Carries: Carries,Median of Possession: Carries: PrgDist,Mean of Possession: Carries: PrgDist,Std of Possession: Carries: PrgDist,Median of Possession: Carries: PrgC,Mean of Possession: Carries: PrgC,Std of Possession: Carries: PrgC,Median of Possession: Carries: 1/3,Mean of Possession: Carries: 1/3,Std of Possession: Carries: 1/3,Median of Possession: Carries: CPA,Mean of Possession: Carries: CPA,Std of Possession: Carries: CPA,Median of Possession: Carries: Mis,Mean of Possession: Carries: Mis,Std of Possession: Carries: Mis,Median of Possession: Carries: Dis,Mean of Possession: Carries: Dis,Std of Possession: Carries: Dis,Median of Possession: Receiving: Rec,Mean of Possession: Receiving: Rec,Std of Possession: Receiving: Rec,Median of Possession: Receiving: PrgR,Mean of Possession: Receiving: PrgR,Std of Possession: Receiving: PrgR,Median of Miscellaneous: Performance: Fls,Mean of Miscellaneous: Performance: Fls,Std of Miscellaneous: Performance: Fls,Median of Miscellaneous: Performance: Fld,Mean of Miscellaneous: Performance: Fld,Std of Miscellaneous: Performance: Fld,Median of Miscellaneous: Performance: Off,Mean of Miscellaneous: Performance: Off,Std of Miscellaneous: Performance: Off,Median of Miscellaneous: Performance: Crs,Mean of Miscellaneous: Performance: Crs,Std of Miscellaneous: Performance: Crs,Median of Miscellaneous: Performance: Recov,Mean of Miscellaneous: Performance: Recov,Std of Miscellaneous: Performance: Recov,Median of Miscellaneous: Aerial Duels: Won,Mean of Miscellaneous: Aerial Duels: Won,Std of Miscellaneous: Aerial Duels: Won,Median of Miscellaneous: Aerial Duels: Lost,Mean of Miscellaneous: Aerial Duels: Lost,Std of Miscellaneous: Aerial Duels: Lost,Median of Miscellaneous: Aerial Duels: Won%,Mean of Miscellaneous: Aerial Duels: Won%,Std of Miscellaneous: Aerial Duels: Won%
all,22.000,20.731,9.680,14.000,15.210,10.687,1335.000,1363.786,903.477,1.000,1.990,3.493,1.000,1.479,2.203,2.000,2.925,2.590,0.000,0.092,0.309,0.900,2.010,3.057,0.900,1.489,1.851,14.000,25.902,30.272,37.000,51.061,49.433,24.000,50.444,63.344,0.030,0.121,0.186,0.040,0.090,0.125,0.070,0.134,0.160,0.070,0.098,0.102,1.470,1.640,0.653,68.300,67.167,8.303,18.800,23.954,22.638,0.000,18.535,29.762,30.400,29.602,19.934,0.230,0.404,0.471,0.060,0.079,0.101,16.400,16.800,5.089,449.000,547.980,453.849,80.000,79.247,8.253,7149.000,9415.320,8217.580,89.800,88.686,6.792,85.700,83.888,10.230,53.850,54.200,15.860,8.000,13.556,15.214,28.000,42.853,44.435,6.000,11.538,14.241,1.000,2.743,4.258,37.000,51.061,49.433,21.000,31.711,31.888,1.830,2.094,1.429,2.000,3.454,4.186,0.160,0.214,0.224,17.000,24.387,22.317,10.000,14.568,13.717,17.000,22.220,20.086,8.000,10.927,10.251,11.000,15.110,13.577,2.000,5.126,7.267,8.000,9.984,9.249,7.000,11.092,11.627,724.000,828.682,615.150,31.000,93.454,173.761,156.000,274.110,304.005,272.000,352.297,311.392,139.000,210.458,207.775,20.000,34.297,40.665,14.000,25.218,30.837,44.800,46.751,22.610,43.300,42.149,21.750,395.000,464.809,354.817,1012.000,1291.153,1081.499,14.000,25.902,30.272,12.000,17.432,18.095,2.000,8.071,14.073,12.000,18.792,19.207,7.000,13.088,14.638,481.000,542.365,415.707,7.000,13.088,14.638,12.000,15.295,13.633,10.000,14.827,14.497,1.000,2.369,3.948,9.000,24.322,35.544,44.000,57.640,45.996,10.000,17.963,21.029,13.000,17.941,18.295,50.000,48.900,21.745
Arsenal,22.500,22.591,7.926,16.000,17.000,10.156,1427.500,1519.455,881.677,2.000,2.773,2.810,1.500,2.273,2.676,2.500,2.909,1.974,0.000,0.227,0.528,1.650,2.500,2.588,0.900,1.886,2.129,23.000,34.318,31.383,55.500,75.182,60.816,51.000,74.182,75.041,0.100,0.165,0.167,0.110,0.139,0.155,0.095,0.152,0.142,0.095,0.121,0.119,0.850,0.850,,75.500,75.500,,35.300,35.300,,0.000,0.000,,31.700,27.890,16.690,0.225,0.411,0.410,0.140,0.137,0.130,15.000,14.671,4.999,459.500,700.409,551.783,82.800,82.345,6.297,7044.500,11484.318,9779.360,91.950,90.873,4.759,86.000,84.873,8.049,53.150,55.545,9.682,10.000,17.136,17.313,39.500,56.955,52.283,9.000,17.864,17.817,1.500,3.000,3.625,55.500,75.182,60.816,24.000,38.818,33.092,2.245,2.459,1.428,3.000,4.909,5.485,0.250,0.296,0.310,19.000,24.091,20.328,12.000,14.273,12.330,20.000,20.773,14.165,10.500,10.318,7.167,10.000,13.182,10.839,1.500,4.318,6.792,7.500,8.864,7.272,6.000,9.273,8.647,738.500,983.773,662.528,24.000,73.591,163.872,120.500,246.182,327.214,291.000,427.955,385.052,223.500,316.909,232.448,37.000,52.500,48.601,22.500,29.727,28.687,43.450,48.877,22.218,35.050,36.918,17.634,406.500,578.182,402.190,1282.500,1631.955,1113.232,23.000,34.318,31.383,19.000,21.364,17.956,4.500,11.773,14.583,15.000,19.318,15.286,13.500,15.682,13.357,528.500,693.682,483.473,13.500,15.682,13.357,14.000,16.636,11.061,17.000,16.318,11.712,1.500,3.409,3.725,11.000,31.818,42.051,48.000,58.045,40.028,10.500,19.500,19.815,15.500,18.955,17.762,51.150,48.000,19.478
Aston Villa,20.000,18.857,9.966,9.500,13.357,11.324,969.000,1200.000,913.117,1.000,1.857,3.285,0.000,1.464,2.365,2.000,2.429,2.251,0.000,0.071,0.262,0.800,1.914,2.936,0.450,1.404,1.949,16.000,23.071,22.745,33.500,42.750,46.344,20.000,42.321,50.759,0.040,0.176,0.292,0.000,0.086,0.116,0.085,0.193,0.247,0.060,0.092,0.104,1.705,1.705,0.417,60.750,60.750,7.283,57.600,57.600,59.963,50.000,50.000,,27.800,29.400,22.125,0.200,0.469,0.673,0.060,0.076,0.084,16.300,16.924,4.505,396.000,476.643,413.241,82.100,81.221,7.162,5626.000,8150.393,7692.953,91.500,90.032,5.555,86.200,86.471,7.559,53.400,54.125,15.291,6.000,11.750,14.544,22.000,36.714,45.312,7.500,10.250,12.376,0.000,1.821,3.672,33.500,42.750,46.344,20.000,27.929,28.946,1.780,2.117,1.412,2.000,3.357,3.754,0.180,0.236,0.217,10.500,20.964,20.084,6.000,12.107,12.236,10.500,17.679,18.437,5.000,7.714,8.059,9.500,10.643,8.895,2.500,3.500,4.132,5.500,7.143,6.223,5.000,7.964,8.284,647.000,701.071,555.682,29.500,84.571,186.692,132.000,236.214,290.885,237.500,299.036,290.765,113.500,172.750,165.813,19.000,30.964,37.198,17.000,23.429,28.676,47.400,50.678,25.081,41.200,38.785,22.994,383.500,396.429,308.035,1052.000,1149.857,912.871,16.000,23.071,22.745,12.500,14.536,12.819,2.000,7.000,10.414,8.500,16.393,21.284,7.500,12.321,15.036,472.000,467.929,374.380,7.500,12.321,15.036,8.500,13.321,13.419,8.500,15.821,17.051,1.000,1.786,2.727,4.500,19.500,33.706,37.500,45.214,35.421,8.000,12.036,11.714,9.500,13.464,13.593,47.200,40.322,23.969
Bournemouth,25.000,21.609,9.838,17.000,16.217,11.330,1580.000,1451.739,975.756,1.000,2.261,3.493,1.000,1.652,1.991,3.000,3.783,3.147,0.000,0.087,0.288,1.100,2.639,3.500,1.100,1.774,1.827,19.000,29.261,34.022,41.000,57.435,51.584,31.000,56.609,70.377,0.030,0.134,0.181,0.050,0.101,0.116,0.080,0.182,0.202,0.100,0.129,0.149,1.000,1.087,0.150,80.000,80.000,4.600,20.000,15.300,13.575,0.000,0.000,,30.350,24.985,17.026,0.150,0.543,0.655,0.065,0.058,0.053,16.450,15.830,4.372,436.000,488.913,394.518,74.200,73.822,6.579,7088.000,8854.957,7609.613,88.000,86.804,7.181,78.200,81.370,10.782,46.900,46.665,17.735,11.000,17.435,16.256,37.000,47.348,47.008,7.000,12.957,13.656,2.000,3.913,5.265,41.000,57.435,51.584,28.000,40.130,35.785,2.350,2.600,1.869,2.000,3.870,4.026,0.220,0.230,0.205,21.000,27.478,23.126,10.000,15.913,14.406,25.000,24.870,21.024,13.000,13.130,10.494,15.000,18.478,16.525,3.000,5.565,7.083,8.000,12.913,12.580,10.000,14.000,15.300,783.000,829.087,608.269,44.000,87.478,146.082,159.000,249.652,270.361,298.000,354.174,312.716,127.000,235.522,234.762,19.000,39.130,47.777,16.000,26.435,31.650,41.250,43.015,19.271,45.100,43.085,19.189,479.000,445.130,332.013,1080.000,1396.870,1258.753,19.000,29.261,34.022,15.000,20.348,19.816,1.000,9.000,15.889,17.000,22.957,21.074,8.000,13.826,17.002,413.000,484.000,357.840,8.000,13.826,17.002,15.000,19.826,17.740,10.000,15.304,13.569,0.000,2.739,5.074,10.000,32.304,40.419,56.000,71.435,56.264,20.000,22.783,20.828,22.000,24.217,20.540,46.100,50.195,18.123
Brentford,27.000,22.857,11.146,21.000,17.810,12.956,1913.000,1592.333,1092.856,0.000,2.762,5.291,2.000,1.857,2.455,2.000,2.524,1.887,0.000,0.048,0.218,0.800,2.481,3.930,1.200,1.795,2.241,12.000,25.286,31.880,51.000,56.714,53.197,27.000,56.048,74.696,0.000,0.112,0.189,0.070,0.084,0.097,0.070,0.120,0.156,0.060,0.090,0.079,1.360,1.360,0.170,62.000,62.000,16.971,59.100,59.100,57.841,0.000,0.000,,34.300,30.811,17.714,0.180,0.311,0.371,0.050,0.077,0.085,15.300,15.989,4.267,483.000,565.810,435.586,77.200,76.443,8.036,7530.000,10385.429,9215.523,87.400,86.338,8.073,79.900,81.952,10.028,55.100,55.090,13.537,8.000,14.095,17.219,41.000,46.762,39.723,7.000,13.762,18.471,2.000,3.810,5.278,51.000,56.714,53.197,21.000,33.238,35.141,1.720,1.864,1.145,2.000,4.762,5.726,0.200,0.252,0.226,25.000,26.714,21.543,17.000,16.238,12.696,25.000,24.762,20.134,10.000,11.619,10.409,17.000,20.381,18.688,4.000,8.381,12.379,13.000,12.000,10.015,8.000,12.476,12.040,780.000,910.476,654.105,51.000,142.619,283.875,226.000,357.333,411.392,334.000,338.905,271.359,158.000,222.524,227.737,24.000,41.762,45.469,12.000,26.238,33.125,47.600,49.058,19.590,42.100,42.079,16.107,395.000,480.905,352.274,1171.000,1334.952,1119.638,12.000,25.286,31.880,10.000,15.429,18.495,1.000,9.000,17.257,14.000,22.381,25.717,8.000,12.333,13.317,484.000,557.381,400.413,8.000,12.333,13.317,12.000,12.952,10.361,10.000,14.571,14.123,1.000,2.952,4.477,13.000,28.571,44.222,50.000,69.095,54.549,12.000,26.762,31.199,14.000,23.619,23.689,55.100,53.986,19.473
Brighton,20.000,18.964,9.758,9.000,13.357,9.867,895.500,1198.464,866.121,1.000,1.929,2.956,1.000,1.286,1.584,2.000,2.607,2.544,0.000,0.107,0.315,0.750,1.882,2.644,0.950,1.293,1.397,16.500,25.857,29.882,38.500,48.929,49.264,26.500,48.643,62.019,0.045,0.123,0.149,0.035,0.090,0.126,0.090,0.130,0.120,0.090,0.102,0.076,1.095,1.095,0.841,69.150,69.150,8.273,34.400,34.400,22.062,0.000,0.000,,29.300,30.508,21.823,0.310,0.456,0.650,0.055,0.080,0.089,16.500,17.558,3.912,333.000,506.036,475.945,80.700,79.446,8.260,4728.000,8611.857,9051.476,90.900,89.521,6.168,82.100,81.339,10.685,53.000,54.332,15.784,9.000,11.714,9.988,21.500,37.929,47.644,7.500,10.786,10.386,1.000,2.821,3.772,38.500,48.929,49.264,23.500,29.607,23.478,2.810,2.502,1.233,3.000,3.464,2.925,0.290,0.300,0.276,16.500,22.107,19.238,10.000,13.464,11.714,17.500,22.464,18.494,9.000,11.607,9.122,12.000,14.000,12.058,2.000,3.893,5.329,9.000,10.107,9.754,8.500,10.000,9.565,630.000,757.393,610.235,22.500,83.036,190.601,118.000,241.464,318.665,227.000,328.786,319.413,147.000,195.607,177.308,17.000,34.000,41.841,12.000,26.214,31.645,41.500,44.619,21.603,47.900,47.100,20.724,367.500,445.286,381.580,1026.000,1340.143,1411.698,16.500,25.857,29.882,15.500,18.321,18.441,2.500,8.286,14.772,10.000,18.357,18.912,7.000,11.143,12.027,408.000,500.286,419.446,7.000,11.143,12.027,10.500,14.071,12.250,8.000,13.357,14.502,1.000,1.429,1.794,10.000,22.179,27.225,39.000,52.107,43.578,11.500,16.714,17.755,10.500,15.000,14.404,53.800,50.170,19.869
Chelsea,17.500,19.154,10.880,11.500,14.385,11.399,1046.500,1291.423,995.128,1.000,2.192,3.476,1.000,1.692,2.205,2.500,3.615,3.251,0.000,0.038,0.196,0.750,2.446,3.964,1.050,1.877,2.317,11.000,30.115,38.786,33.000,56.538,61.782,11.500,55.808,74.500,0.050,0.146,0.206,0.065,0.132,0.184,0.085,0.155,0.176,0.100,0.153,0.169,1.305,1.305,0.276,74.050,74.050,3.748,22.650,22.650,8.415,10.000,10.000,14.142,33.300,29.848,21.666,0.280,0.457,0.490,0.080,0.094,0.118,15.000,15.109,4.582,492.500,636.462,575.715,84.700,84.077,6.407,7569.500,11007.269,10339.849,91.900,91.069,5.659,90.700,88.481,7.280,58.050,57.181,17.873,6.500,16.269,20.954,27.000,52.769,57.371,4.000,12.654,16.888,0.000,2.692,5.350,33.000,56.538,61.782,15.000,37.808,45.690,1.830,2.328,1.663,2.500,3.923,4.516,0.205,0.256,0.245,11.000,20.000,23.234,8.500,12.500,14.409,11.500,18.692,21.903,5.500,9.346,11.534,9.000,12.000,12.961,1.500,3.577,5.486,5.500,8.423,9.496,7.000,9.385,11.006,713.500,882.962,749.406,19.500,81.962,174.114,123.500,263.615,324.630,254.500,398.923,405.237,91.500,227.731,254.267,11.500,39.500,49.929,13.000,27.115,33.083,44.250,46.312,20.200,40.000,38.600,23.277,399.000,513.731,414.770,1010.500,1451.769,1154.301,11.000,30.115,38.786,9.500,17.000,18.874,1.000,10.923,20.248,6.000,15.962,19.088,5.500,10.615,11.768,495.500,631.231,529.269,5.500,10.615,11.768,7.000,15.077,15.836,10.500,15.462,16.595,1.000,2.115,3.871,3.000,23.462,40.128,37.500,54.000,49.519,9.000,13.962,16.396,8.500,13.692,14.601,42.100,46.816,26.264
